dataset,model,n_scored,phenomenon_id,soundness,consistency,total,accuracy,phenomenon_id_norm,soundness_norm,consistency_norm,total_norm
fracas,deepseek-r1,342,1.631578947368421,1.590643274853801,0.9005847953216374,4.12280701754386,0.6988304093567251,0.8157894736842105,0.7953216374269005,0.9005847953216374,0.8245614035087719
fracas,deepseek-v4-pro,342,1.5292397660818713,1.5497076023391814,0.9678362573099415,4.046783625730995,0.7309941520467836,0.7646198830409356,0.7748538011695907,0.9678362573099415,0.8093567251461989
fracas,gpt-4o,342,1.3011695906432748,1.523391812865497,0.9590643274853801,3.783625730994152,0.7251461988304093,0.6505847953216374,0.7616959064327485,0.9590643274853801,0.7567251461988305
fracas,gpt-5.4,342,1.7076023391812865,1.6666666666666667,0.9707602339181286,4.345029239766082,0.7573099415204678,0.8538011695906432,0.8333333333333334,0.9707602339181286,0.8690058479532163
fracas,grok-4-20,342,1.5380116959064327,1.476608187134503,0.9502923976608187,3.9649122807017543,0.716374269005848,0.7690058479532164,0.7383040935672515,0.9502923976608187,0.7929824561403509
fracas,grok-4-20-reasoning,342,1.736842105263158,1.6929824561403508,0.9239766081871345,4.353801169590644,0.7631578947368421,0.868421052631579,0.8464912280701754,0.9239766081871345,0.8707602339181287
fracas,llama-3.3-70b,342,1.2017543859649122,1.4298245614035088,0.9269005847953217,3.5584795321637426,0.7134502923976608,0.6008771929824561,0.7149122807017544,0.9269005847953217,0.7116959064327485
fracas,llama-4-maverick,342,1.3596491228070176,1.45906432748538,0.935672514619883,3.754385964912281,0.6988304093567251,0.6798245614035088,0.72953216374269,0.935672514619883,0.7508771929824561
fracas,mistral-large-3,342,1.412280701754386,1.4736842105263157,0.8421052631578947,3.7280701754385963,0.6257309941520468,0.706140350877193,0.7368421052631579,0.8421052631578947,0.7456140350877193
fracas-multilabel,deepseek-r1,712,1.7050561797752808,1.5449438202247192,0.9845505617977528,4.234550561797753,0.7401685393258427,0.8525280898876404,0.7724719101123596,0.9845505617977528,0.8469101123595506
fracas-multilabel,deepseek-v4-pro,713,1.697054698457223,1.5203366058906032,0.9803646563814866,4.197755960729313,0.7391304347826086,0.8485273492286115,0.7601683029453016,0.9803646563814866,0.8395511921458626
fracas-multilabel,gpt-4o,713,1.5189340813464236,1.4978962131837308,0.9621318373071529,3.978962131837307,0.7082748948106592,0.7594670406732118,0.7489481065918654,0.9621318373071529,0.7957924263674614
fracas-multilabel,gpt-5.4,713,1.8148667601683028,1.5890603085553998,0.9943899018232819,4.3983169705469845,0.7503506311360448,0.9074333800841514,0.7945301542776999,0.9943899018232819,0.8796633941093969
fracas-multilabel,grok-4-20,713,1.6633941093969145,1.4053295932678822,0.9775596072931276,4.046283309957924,0.6830294530154277,0.8316970546984572,0.7026647966339411,0.9775596072931276,0.8092566619915849
fracas-multilabel,grok-4-20-reasoning,713,1.7826086956521738,1.5750350631136045,1.0,4.357643758765779,0.7601683029453016,0.8913043478260869,0.7875175315568023,1.0,0.8715287517531557
fracas-multilabel,llama-3.3-70b,713,1.4389901823281908,1.246844319775596,0.9551192145862553,3.640953716690042,0.6143057503506312,0.7194950911640954,0.623422159887798,0.9551192145862553,0.7281907433380084
fracas-multilabel,llama-4-maverick,711,1.6033755274261603,1.3741209563994374,0.9465541490857946,3.9240506329113924,0.6568213783403657,0.8016877637130801,0.6870604781997187,0.9465541490857946,0.7848101265822784
fracas-multilabel,mistral-large-3,713,1.5834502103786816,1.3800841514726507,0.94109396914446,3.9046283309957923,0.6577840112201964,0.7917251051893408,0.6900420757363254,0.94109396914446,0.7809256661991585
fracas-translated,deepseek-r1,342,1.543859649122807,1.4502923976608186,0.8333333333333334,3.827485380116959,0.5877192982456141,0.7719298245614035,0.7251461988304093,0.8333333333333334,0.7654970760233918
fracas-translated,deepseek-v4-pro,342,1.4970760233918128,1.4619883040935673,0.9619883040935673,3.9210526315789473,0.695906432748538,0.7485380116959064,0.7309941520467836,0.9619883040935673,0.7842105263157895
