dataset,model,n_joined,p1_accuracy,fol_accuracy,both_correct,p1_only,fol_only,neither,p1_only_rate,fol_only_rate,fol_undecided_rate
fracas-multilabel,deepseek-r1,6408,0.7401685393258427,0.4606741573033708,2436,2307,516,1149,0.3600187265917603,0.08052434456928839,0.5692883895131086
fracas-multilabel,deepseek-v4-pro,6417,0.7391304347826086,0.5287517531556802,2670,2073,723,951,0.3230481533426835,0.11266947171575503,0.11968209443665265
fracas-multilabel,gpt-4o,6417,0.7082748948106592,0.5465170640486209,2859,1686,648,1224,0.262739597942964,0.10098176718092566,0.10098176718092566
fracas-multilabel,gpt-5.4,6417,0.7503506311360448,0.5624123422159888,3153,1662,456,1146,0.2589995324918186,0.07106124357176251,0.08508648901355774
fracas-multilabel,grok-4-20,6417,0.6830294530154277,0.522674146797569,2568,1815,786,1248,0.2828424497428705,0.1224871435250117,0.2028985507246377
fracas-multilabel,grok-4-20-reasoning,6417,0.7601683029453016,0.6694717157550257,3768,1110,528,1011,0.17297802711547453,0.0822814399251987,0.027115474520804116
fracas-multilabel,llama-3.3-70b,6417,0.6143057503506312,0.503973819541842,1899,2043,1335,1140,0.31837307152875177,0.2080411407199626,0.22346891070593736
fracas-multilabel,llama-4-maverick,6399,0.6568213783403657,0.5269573370839193,2475,1728,897,1299,0.270042194092827,0.1401781528363807,0.156586966713549
fracas-multilabel,mistral-large-3,6417,0.6577840112201964,0.5432445067788686,2526,1695,960,1236,0.2641421224871435,0.1496026180458158,0.14258999532491817
fracas-translated,deepseek-r1,3078,0.5877192982456141,0.48050682261208577,690,1119,789,480,0.3635477582846004,0.25633528265107214,0.5477582846003899
fracas-translated,deepseek-v4-pro,3078,0.695906432748538,0.5877192982456141,1326,816,483,453,0.2651072124756335,0.15692007797270954,0.15497076023391812
fracas-translated,gpt-4o,3078,0.6988304093567251,0.5614035087719298,1203,948,525,402,0.3079922027290448,0.1705653021442495,0.14132553606237816
fracas-translated,gpt-5.4,3078,0.7485380116959064,0.5916179337231969,1527,777,294,480,0.2524366471734893,0.09551656920077972,0.1442495126705653
fracas-translated,grok-4-20,3078,0.695906432748538,0.5662768031189084,1224,918,519,417,0.2982456140350877,0.16861598440545808,0.25146198830409355
fracas-translated,grok-4-20-reasoning,3078,0.7309941520467836,0.7261208576998051,1824,426,411,417,0.13840155945419103,0.13352826510721247,0.042884990253411304
fracas-translated,llama-3.3-70b,3078,0.6345029239766082,0.4834307992202729,834,1119,654,471,0.3635477582846004,0.2124756335282651,0.347953216374269
fracas-translated,llama-4-maverick,3069,0.6686217008797654,0.5698924731182796,1218,834,531,486,0.27174975562072334,0.17302052785923755,0.1681329423264907
fracas-translated,mistral-large-3,3078,0.6052631578947368,0.5847953216374269,1074,789,726,489,0.25633528265107214,0.23586744639376217,0.1705653021442495
oyxoy,deepseek-r1,9387,0.7411313518696069,0.4004474272930649,3234,3723,525,1905,0.39661233620965164,0.05592841163310962,0.5551294343240653
oyxoy,deepseek-v4-pro,9432,0.7080152671755725,0.4395674300254453,3069,3609,1077,1677,0.38263358778625955,0.11418575063613232,0.09987277353689568
oyxoy,gpt-4o,9432,0.7232824427480916,0.4510178117048346,3543,3279,711,1899,0.34764631043257,0.07538167938931298,0.09287531806615776
oyxoy,gpt-5.4,9423,0.7478510028653295,0.46609360076408785,3924,3123,468,1908,0.3314231136580707,0.049665711556829036,0.06526583890480739
oyxoy,grok-4-20,9432,0.6889312977099237,0.4449745547073791,3051,3447,1146,1788,0.3654580152671756,0.12150127226463105,0.1809796437659033
oyxoy,grok-4-20-reasoning,9432,0.7767175572519084,0.6103689567430025,5295,2031,462,1644,0.21533078880407125,0.048982188295165395,0.011450381679389313
oyxoy,llama-3.3-70b,6288,0.6020992366412213,0.4122137404580153,1254,2532,1338,1164,0.4026717557251908,0.21278625954198474,0.22375954198473283
oyxoy,llama-4-maverick,9405,0.6679425837320574,0.45901116427432215,3123,3159,1194,1929,0.33588516746411484,0.1269537480063796,0.15757575757575756
oyxoy,mistral-large-3,9441,0.6472831267874166,0.44391483952971084,2832,3279,1359,1971,0.3473149030823006,0.14394661582459486,0.13314267556402923
