dataset,model,technique,language,n_items,n_no_prediction,n_strict_correct,n_partial_correct,strict_accuracy,partial_accuracy,crosslingual,multilabel
fracas-multilabel,gpt-5.4,zero-shot,en,713,0,535,563,0.7503506311360448,0.7896213183730715,True,True
fracas-multilabel,deepseek-r1,few-shot,el,713,2,541,568,0.758765778401122,0.7966339410939691,False,True
fracas-multilabel,deepseek-r1,few-shot,en,713,1,521,549,0.7307152875175316,0.7699859747545582,True,True
fracas-multilabel,deepseek-r1,zero-shot,el,713,2,517,545,0.7251051893408135,0.7643758765778401,False,True
fracas-multilabel,deepseek-r1,zero-shot,en,713,1,527,555,0.7391304347826086,0.7784011220196353,True,True
fracas-multilabel,deepseek-v4-pro,few-shot,el,713,0,522,551,0.7321178120617111,0.7727910238429172,False,True
fracas-multilabel,deepseek-v4-pro,few-shot,en,713,0,534,563,0.7489481065918654,0.7896213183730715,True,True
fracas-multilabel,deepseek-v4-pro,zero-shot,el,713,0,530,559,0.7433380084151473,0.7840112201963534,False,True
fracas-multilabel,deepseek-v4-pro,zero-shot,en,713,0,527,556,0.7391304347826086,0.7798036465638148,True,True
fracas-multilabel,grok-4-20,few-shot,el,713,0,471,496,0.6605890603085554,0.6956521739130435,False,True
fracas-multilabel,grok-4-20,few-shot,en,713,0,469,494,0.6577840112201964,0.6928471248246845,True,True
fracas-multilabel,grok-4-20,zero-shot,el,713,0,488,516,0.6844319775596073,0.7237026647966339,False,True
fracas-multilabel,grok-4-20,zero-shot,en,713,0,487,513,0.6830294530154277,0.7194950911640954,True,True
fracas-multilabel,grok-4-20-reasoning,few-shot,el,713,0,536,561,0.7517531556802244,0.7868162692847125,False,True
fracas-multilabel,grok-4-20-reasoning,few-shot,en,713,0,541,570,0.758765778401122,0.7994389901823282,True,True
fracas-multilabel,grok-4-20-reasoning,zero-shot,el,713,0,531,560,0.7447405329593267,0.7854137447405329,False,True
fracas-multilabel,grok-4-20-reasoning,zero-shot,en,713,0,542,570,0.7601683029453016,0.7994389901823282,True,True
fracas-multilabel,llama-3.3-70b,few-shot,el,713,0,404,424,0.5666199158485273,0.5946704067321178,False,True
fracas-multilabel,llama-3.3-70b,few-shot,en,713,0,444,467,0.6227208976157083,0.6549789621318373,True,True
fracas-multilabel,llama-3.3-70b,zero-shot,el,713,0,402,420,0.5638148667601683,0.5890603085553997,False,True
fracas-multilabel,llama-3.3-70b,zero-shot,en,713,0,438,461,0.6143057503506312,0.6465638148667602,True,True
fracas-multilabel,llama-4-maverick,few-shot,el,713,1,484,506,0.6788218793828892,0.7096774193548387,False,True
fracas-multilabel,llama-4-maverick,few-shot,en,713,6,477,502,0.6690042075736325,0.7040673211781207,True,True
fracas-multilabel,llama-4-maverick,zero-shot,el,713,1,474,490,0.664796633941094,0.6872370266479664,False,True
fracas-multilabel,llama-4-maverick,zero-shot,en,713,2,467,495,0.6549789621318373,0.6942496493688639,True,True
fracas-multilabel,mistral-large-3,few-shot,el,713,0,382,400,0.5357643758765779,0.5610098176718092,False,True
fracas-multilabel,mistral-large-3,few-shot,en,713,0,463,487,0.6493688639551192,0.6830294530154277,True,True
fracas-multilabel,mistral-large-3,zero-shot,el,713,0,320,333,0.4488078541374474,0.4670406732117812,False,True
fracas-multilabel,mistral-large-3,zero-shot,en,713,0,469,492,0.6577840112201964,0.6900420757363254,True,True
oyxoy,gpt-4o,few-shot,el,1049,3,702,790,0.669208770257388,0.7530981887511916,False,True
oyxoy,gpt-4o,few-shot,en,1049,1,677,763,0.6453765490943756,0.7273593898951383,True,True
oyxoy,gpt-4o,zero-shot,el,1049,1,714,808,0.680648236415634,0.7702573879885606,False,True
oyxoy,gpt-4o,zero-shot,en,1049,1,758,854,0.7225929456625357,0.8141086749285034,True,True
oyxoy,gpt-5.4,few-shot,el,1049,3,769,875,0.7330791229742613,0.8341277407054337,False,True
oyxoy,gpt-5.4,few-shot,en,1049,2,774,879,0.7378455672068637,0.8379408960915157,True,True
oyxoy,gpt-5.4,zero-shot,el,1049,2,754,848,0.7187797902764538,0.8083889418493804,False,True
oyxoy,gpt-5.4,zero-shot,en,1049,2,783,890,0.7464251668255482,0.8484270734032412,True,True
oyxoy,deepseek-r1,few-shot,el,1049,3,791,894,0.7540514775977121,0.8522402287893232,False,True
oyxoy,deepseek-r1,few-shot,en,1049,6,770,862,0.7340324118207817,0.8217349857006673,True,True
oyxoy,deepseek-r1,zero-shot,el,1049,2,768,871,0.7321258341277407,0.8303145853193518,False,True
oyxoy,deepseek-r1,zero-shot,en,1049,6,773,868,0.7368922783603432,0.8274547187797903,True,True
oyxoy,deepseek-v4-pro,few-shot,el,1049,1,750,853,0.7149666348903718,0.8131553860819828,False,True
oyxoy,deepseek-v4-pro,few-shot,en,1049,2,737,839,0.7025738798856054,0.7998093422306959,True,True
oyxoy,deepseek-v4-pro,zero-shot,el,1049,1,768,875,0.7321258341277407,0.8341277407054337,False,True
oyxoy,deepseek-v4-pro,zero-shot,en,1049,1,742,847,0.7073403241182078,0.8074356530028599,True,True
