dataset,model,tier,condition,n_items,compilation_rate,proof_rate,accuracy,accuracy_given_compiled,mean_attempts,n_compiled,n_proved,n_correct,path
fracas,grok-4-20-reasoning,T1,c1,342,0.9912280701754386,0.631578947368421,0.7660818713450293,0.7728613569321534,1.1169590643274854,339,216,262,
fracas,grok-4-20-reasoning,T1,c2,342,0.9883040935672515,0.6023391812865497,0.7573099415204678,0.7662721893491125,1.105263157894737,338,206,259,
fracas,grok-4-20-reasoning,T1,c3,342,0.9970760233918129,0.6900584795321637,0.9941520467836257,0.9970674486803519,1.064327485380117,341,236,340,
fracas,grok-4-20-reasoning,T2,c1,342,0.9941520467836257,0.6374269005847953,0.7953216374269005,0.8,1.1169590643274854,340,218,272,
fracas,grok-4-20-reasoning,T2,c2,342,0.9853801169590644,0.5994152046783626,0.7690058479532164,0.7804154302670623,1.172514619883041,337,205,263,
fracas,grok-4-20-reasoning,T2,c3,342,0.9912280701754386,0.6812865497076024,0.9912280701754386,1.0,1.090643274853801,339,233,339,
fracas,llama-3.3-70b,T0,c1,342,0.4444444444444444,0.30994152046783624,0.32748538011695905,0.7368421052631579,2.192982456140351,152,106,112,
fracas,llama-3.3-70b,T0,c2,342,0.41812865497076024,0.30994152046783624,0.3157894736842105,0.7552447552447552,2.304093567251462,143,106,108,
fracas,llama-3.3-70b,T0,c3,342,0.5175438596491229,0.28654970760233917,0.43859649122807015,0.847457627118644,2.0672514619883042,177,98,150,
fracas,llama-3.3-70b,T1,c1,342,0.37719298245614036,0.3157894736842105,0.2573099415204678,0.6821705426356589,2.3216374269005846,129,108,88,
fracas,llama-3.3-70b,T1,c2,342,0.37719298245614036,0.30994152046783624,0.26900584795321636,0.7131782945736435,2.365497076023392,129,106,92,
fracas,llama-3.3-70b,T1,c3,342,0.4678362573099415,0.34502923976608185,0.40058479532163743,0.85625,2.172514619883041,160,118,137,
fracas,llama-3.3-70b,T2,c1,342,0.3362573099415205,0.2309941520467836,0.20760233918128654,0.6173913043478261,2.456140350877193,115,79,71,
fracas,llama-3.3-70b,T2,c2,342,0.2719298245614035,0.18421052631578946,0.17251461988304093,0.6344086021505376,2.5584795321637426,93,63,59,
fracas,llama-3.3-70b,T2,c3,342,0.5321637426900585,0.30994152046783624,0.4678362573099415,0.8791208791208791,2.084795321637427,182,106,160,
fracas,llama-4-maverick,T0,c1,342,0.3830409356725146,0.3304093567251462,0.26608187134502925,0.6946564885496184,2.4649122807017543,131,113,91,
fracas,llama-4-maverick,T0,c2,342,0.2777777777777778,0.22807017543859648,0.20175438596491227,0.7263157894736842,2.6374269005847952,95,78,69,
fracas,llama-4-maverick,T0,c3,342,0.4444444444444444,0.3304093567251462,0.3654970760233918,0.8223684210526315,2.318713450292398,152,113,125,
fracas,llama-4-maverick,T1,c1,342,0.36257309941520466,0.2807017543859649,0.2777777777777778,0.7661290322580645,2.491228070175439,124,96,95,
fracas,llama-4-maverick,T1,c2,342,0.26900584795321636,0.21929824561403508,0.18421052631578946,0.6847826086956522,2.6666666666666665,92,75,63,
fracas,llama-4-maverick,T1,c3,342,0.4678362573099415,0.3654970760233918,0.39473684210526316,0.84375,2.374269005847953,160,125,135,
fracas,llama-4-maverick,T2,c1,342,0.3888888888888889,0.3157894736842105,0.3216374269005848,0.8270676691729323,2.456140350877193,133,108,110,
fracas,llama-4-maverick,T2,c2,342,0.3888888888888889,0.31871345029239767,0.30701754385964913,0.7894736842105263,2.491228070175439,133,109,105,
fracas,llama-4-maverick,T2,c3,342,0.4649122807017544,0.3216374269005848,0.4093567251461988,0.8805031446540881,2.3830409356725144,159,110,140,
fracas,mistral-large-3,T0,c1,342,0.40058479532163743,0.2894736842105263,0.2982456140350877,0.7445255474452555,2.4766081871345027,137,99,102,
fracas,mistral-large-3,T0,c2,342,0.391812865497076,0.2894736842105263,0.2953216374269006,0.753731343283582,2.5233918128654973,134,99,101,
fracas,mistral-large-3,T0,c3,342,0.52046783625731,0.39473684210526316,0.48830409356725146,0.9382022471910112,2.263157894736842,178,135,167,
fracas,mistral-large-3,T1,c1,342,0.35964912280701755,0.24269005847953215,0.2982456140350877,0.8292682926829268,2.5526315789473686,123,83,102,
fracas,mistral-large-3,T1,c2,342,0.3742690058479532,0.2807017543859649,0.2982456140350877,0.796875,2.5409356725146197,128,96,102,
fracas,mistral-large-3,T1,c3,342,0.4590643274853801,0.32748538011695905,0.4327485380116959,0.9426751592356688,2.3362573099415203,157,112,148,
fracas,mistral-large-3,T2,c1,342,0.3713450292397661,0.30701754385964913,0.28654970760233917,0.7716535433070866,2.5146198830409356,127,105,98,
