tier,n_files,n_items,compilation_rate,proof_rate,accuracy,mean_attempts
T0,135,77571,0.6896573386507703,0.39243590046995463,0.47221722122271564,1.9196794105664687
T1,27,9234,0.6786874593892137,0.4408706952566601,0.5121290881524799,1.9150963829326402
T2,27,9234,0.6712150747238467,0.43599740090968164,0.5071474983755686,1.9294996751137103
